,one,two,three,four,five,six,seven,eight,nine,label
3,AAR2_YEAST,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,positive
7,BAF1_YEAST,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,positive
10,ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,positive
11,ACE2_YEAST,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,positive
17,ACT3_YEAST,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,positive
18,ACT5_YEAST,0.5,0.34,0.55,0.21,0.5,0.0,0.49,0.22,positive
19,ADA2_YEAST,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,positive
30,ADR1_YEAST,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,positive
33,RCS1_YEAST,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,positive
44,MAN1_YEAST,0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,negative
45,ANC1_YEAST,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,positive
48,APE3_YEAST,0.74,0.57,0.51,0.28,0.5,0.0,0.58,0.22,negative
52,APN1_YEAST,0.45,0.46,0.55,0.43,0.5,0.0,0.55,0.38,positive
61,ARG1_YEAST,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,positive
62,ARG2_YEAST,0.48,0.43,0.51,0.32,0.5,0.0,0.52,0.43,positive
63,ARG3_YEAST,0.41,0.46,0.59,0.19,0.5,0.0,0.58,0.27,positive
88,BAS1_YEAST,0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,positive
93,BDF1_YEAST,0.33,0.43,0.64,0.16,0.5,0.0,0.52,0.52,positive
103,CAD1_YEAST,0.48,0.23,0.57,0.27,0.5,0.0,0.48,0.47,positive
111,CAT8_YEAST,0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,positive
112,CBF1_YEAST,0.3,0.32,0.57,0.19,0.5,0.0,0.48,0.55,positive
113,CB32_YEAST,0.4,0.44,0.49,0.47,0.5,0.0,0.49,0.27,positive
114,CBF5_YEAST,0.45,0.51,0.5,0.16,0.5,0.0,0.52,1.0,positive
126,CCL1_YEAST,0.4,0.38,0.53,0.16,0.5,0.0,0.52,0.27,positive
128,CCR4_YEAST,0.53,0.51,0.55,0.05,0.5,0.0,0.45,0.25,positive
133,CC16_YEAST,0.62,0.51,0.52,0.42,0.5,0.0,0.54,0.27,positive
134,CC23_YEAST,0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,positive
137,CC27_YEAST,0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,positive
139,CC31_YEAST,0.47,0.32,0.64,0.3,0.5,0.0,0.63,0.22,positive
141,UBC3_YEAST,0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,positive
142,NOT2_YEAST,0.64,0.6,0.57,0.19,0.5,0.0,0.43,0.22,positive
143,NOT1_YEAST,0.37,0.46,0.4,0.27,0.5,0.0,0.45,0.22,positive
145,CC40_YEAST,0.28,0.37,0.61,0.09,0.5,0.0,0.52,0.55,positive
148,RFC1_YEAST,0.26,0.36,0.47,0.34,0.5,0.0,0.53,0.72,positive
149,CC46_YEAST,0.51,0.34,0.5,0.19,0.5,0.0,0.5,0.22,positive
150,YB52_YEAST,0.58,0.5,0.5,0.12,0.5,0.0,0.48,0.25,positive
152,CC6_YEAST,0.41,0.39,0.44,0.34,0.5,0.0,0.48,0.4,positive
154,CC68_YEAST,0.36,0.68,0.46,0.16,0.5,0.0,0.53,0.28,positive
155,CC7_YEAST,0.42,0.31,0.5,0.15,0.5,0.0,0.53,0.22,positive
157,DNLI_YEAST,0.67,0.71,0.52,0.65,0.5,0.0,0.53,0.36,positive
158,MCE1_YEAST,0.49,0.47,0.53,0.16,0.5,0.0,0.48,0.27,positive
163,CHL1_YEAST,0.42,0.51,0.5,0.12,0.5,0.0,0.52,0.46,positive
164,CHL4_YEAST,0.57,0.51,0.53,0.18,0.5,0.0,0.56,0.25,positive
170,CIK1_YEAST,0.31,0.44,0.53,0.23,0.5,0.0,0.51,0.32,positive
176,KC21_YEAST,0.31,0.31,0.56,0.33,0.5,0.0,0.52,0.33,positive
177,KC22_YEAST,0.49,0.31,0.49,0.35,0.5,0.0,0.51,0.29,positive
178,KC2C_YEAST,0.38,0.37,0.56,0.21,0.5,0.0,0.49,0.22,positive
220,CBPS_YEAST,0.7,0.65,0.54,0.28,0.5,0.0,0.6,0.4,negative
222,CRM1_YEAST,0.56,0.52,0.48,0.17,0.5,0.0,0.46,0.22,positive
225,CSE1_YEAST,0.58,0.56,0.45,0.12,0.5,0.0,0.51,0.22,positive
226,CSE2_YEAST,0.53,0.38,0.66,0.25,0.5,0.0,0.43,0.22,positive
227,YKE9_YEAST,0.34,0.36,0.54,0.11,0.5,0.0,0.36,0.21,positive
230,CB33_YEAST,0.41,0.45,0.53,0.17,0.5,0.0,0.51,0.25,positive
231,CTK1_YEAST,0.31,0.46,0.54,0.52,0.5,0.0,0.5,0.34,positive
251,DA80_YEAST,0.59,0.58,0.56,0.21,0.5,0.0,0.54,0.33,positive
252,DA81_YEAST,0.39,0.28,0.46,0.12,0.5,0.0,0.41,0.22,positive
253,DA82_YEAST,0.56,0.43,0.54,0.16,0.5,0.0,0.5,0.22,positive
254,DAP2_YEAST,0.36,0.68,0.38,0.08,0.5,0.0,0.53,0.25,negative
255,DATI_YEAST,0.27,0.36,0.6,0.33,0.5,0.0,0.37,0.31,positive
256,DBF4_YEAST,0.35,0.4,0.59,0.22,0.5,0.0,0.47,0.37,positive
257,DBP1_YEAST,0.42,0.32,0.5,0.21,0.5,0.0,0.51,0.22,positive
258,DBP2_YEAST,0.23,0.2,0.53,0.2,0.5,0.0,0.44,0.22,positive
259,DBR1_YEAST,0.55,0.54,0.56,0.22,0.5,0.0,0.5,0.37,positive
260,DED1_YEAST,0.36,0.24,0.49,0.16,0.5,0.0,0.51,0.22,positive
263,DYHC_YEAST,0.6,0.56,0.47,0.2,0.5,0.0,0.5,0.38,positive
264,DHH1_YEAST,0.41,0.24,0.54,0.26,0.5,0.0,0.41,0.22,positive
266,DMC1_YEAST,0.43,0.39,0.54,0.14,0.5,0.0,0.47,0.22,positive
267,DPB2_YEAST,0.5,0.51,0.52,0.09,0.5,0.0,0.48,0.25,positive
268,DPB3_YEAST,0.53,0.61,0.52,0.21,0.5,0.0,0.55,0.3,positive
271,DRS1_YEAST,0.46,0.43,0.49,0.79,0.5,0.0,0.49,0.63,positive
274,TFS2_YEAST,0.61,0.3,0.59,0.12,0.5,0.0,0.49,0.27,positive
275,DUN1_YEAST,0.37,0.53,0.46,0.23,0.5,0.0,0.47,0.22,positive
279,EGD1_YEAST,0.35,0.39,0.57,0.11,0.5,0.0,0.48,0.22,positive
302,ESP1_YEAST,0.55,0.46,0.46,0.31,0.5,0.0,0.58,0.48,positive
303,EST1_YEAST,0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,positive
317,FHL1_YEAST,0.33,0.44,0.49,0.08,0.5,0.0,0.48,0.49,positive
323,FKB3_YEAST,0.54,0.57,0.52,0.19,0.5,0.0,0.59,0.67,positive
335,FZF1_YEAST,0.37,0.43,0.62,0.27,0.5,0.0,0.48,0.22,positive
339,GALY_YEAST,0.56,0.59,0.53,0.16,0.5,0.0,0.24,0.42,positive
341,GAL4_YEAST,0.44,0.44,0.49,0.15,0.5,0.0,0.46,0.27,positive
343,GAL8_YEAST,0.6,0.6,0.49,0.3,0.5,0.0,0.53,0.22,positive
345,GAR1_YEAST,0.35,0.68,0.57,0.4,0.5,0.0,0.53,0.36,positive
347,GBP2_YEAST,0.23,0.3,0.58,0.22,0.5,0.0,0.48,0.27,positive
356,GCN4_YEAST,0.56,0.54,0.59,0.14,0.5,0.0,0.52,0.27,positive
357,GCN5_YEAST,0.31,0.31,0.54,0.18,0.5,0.0,0.52,0.29,positive
358,GCR1_YEAST,0.27,0.51,0.47,0.35,0.5,0.0,0.49,0.28,positive
359,GCR2_YEAST,0.54,0.56,0.57,0.18,0.5,0.0,0.45,0.25,positive
360,GCR3_YEAST,0.17,0.38,0.45,0.09,0.5,0.0,0.54,0.27,positive
361,GCS1_YEAST,0.43,0.51,0.54,0.15,0.5,0.0,0.45,0.26,positive
373,GLN3_YEAST,0.43,0.54,0.58,0.16,0.5,0.0,0.5,0.36,positive
375,GLO3_YEAST,0.34,0.66,0.51,0.16,0.5,0.0,0.47,0.33,positive
383,PHO2_YEAST,0.4,0.34,0.52,0.17,0.5,0.0,0.47,0.51,positive
385,GSP1_YEAST,0.58,0.48,0.56,0.1,0.5,0.0,0.46,0.25,positive
386,GSP2_YEAST,0.58,0.48,0.56,0.12,0.5,0.0,0.46,0.25,positive
389,GTS1_YEAST,0.41,0.6,0.53,0.29,0.5,0.0,0.47,0.43,positive
392,CYP1_YEAST,0.6,0.48,0.44,0.52,0.5,0.0,0.54,0.63,positive
393,HAP2_YEAST,0.47,0.49,0.63,0.17,0.5,0.0,0.31,0.26,positive
394,HAP3_YEAST,0.28,0.51,0.55,0.11,0.5,0.0,0.46,0.22,positive
395,HAP4_YEAST,0.56,0.57,0.63,0.39,1.0,0.0,0.59,0.4,positive
397,HCM1_YEAST,0.46,0.57,0.57,0.15,0.5,0.0,0.52,0.26,positive
398,HDF1_YEAST,0.43,0.42,0.54,0.22,0.5,0.0,0.57,0.33,positive
405,HEX2_YEAST,0.44,0.42,0.62,0.14,0.5,0.0,0.55,0.37,positive
406,H4_YEAST,0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,positive
407,H4_YEAST,0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,positive
408,H3_YEAST,0.39,0.39,0.55,0.52,0.5,0.0,0.37,0.16,positive
409,H3_YEAST,0.39,0.39,0.55,0.52,0.5,0.0,0.37,0.16,positive
411,HIR1_YEAST,0.48,0.57,0.5,0.09,0.5,0.0,0.52,0.42,positive
412,HIR2_YEAST,0.61,0.57,0.45,0.21,0.5,0.0,0.5,0.42,positive
416,MAT1_YEAST,0.37,0.22,0.64,0.35,0.5,0.0,0.47,0.22,positive
