,one,two,three,four,five,six,seven,eight,nine,label
0,ADT1_YEAST,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,Positive
1,ADT2_YEAST,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,Positive
2,ADT3_YEAST,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,Positive
3,AAR2_YEAST,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,Positive
4,AATM_YEAST,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,Positive
5,AATC_YEAST,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,Positive
6,ABC1_YEAST,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,Positive
7,BAF1_YEAST,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,Positive
8,ABF2_YEAST,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,Positive
9,ABP1_YEAST,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,Positive
10,ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,Positive
11,ACE2_YEAST,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,Positive
12,ACH1_YEAST,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,Positive
13,ACON_YEAST,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,Positive
14,ACR1_YEAST,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22,Positive
15,ACT_YEAST,0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22,Positive
16,ACT2_YEAST,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,Positive
17,ACT3_YEAST,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,Positive
18,ACT5_YEAST,0.5,0.34,0.55,0.21,0.5,0.0,0.49,0.22,Positive
19,ADA2_YEAST,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,Positive
20,C1TC_YEAST,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,Positive
21,PUR4_YEAST,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,Positive
22,PUR3_YEAST,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,Positive
23,ADH1_YEAST,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,Positive
24,ADH2_YEAST,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,Positive
25,ADH3_YEAST,0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22,Positive
26,ADH4_YEAST,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27,Positive
27,KAD1_YEAST,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,Positive
28,KAD2_YEAST,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.22,Positive
29,ADP1_YEAST,0.8,0.88,0.36,0.39,0.5,0.0,0.56,0.33,Positive
30,ADR1_YEAST,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,Positive
31,AFG3_YEAST,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,Positive
32,AFR1_YEAST,0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,Positive
33,RCS1_YEAST,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,Positive
34,AGA1_YEAST,0.78,0.74,0.42,0.26,0.5,0.0,0.43,0.22,Positive
35,AGA2_YEAST,0.74,0.67,0.47,0.34,0.5,0.0,0.42,0.22,Negative
36,YMX1_YEAST,0.72,0.61,0.45,0.3,0.5,0.0,0.54,0.25,Positive
37,SYAC_YEAST,0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,Positive
38,DHA1_YEAST,0.59,0.53,0.43,0.44,0.5,0.0,0.5,0.22,Positive
39,DHA2_YEAST,0.57,0.53,0.53,0.34,0.5,0.0,0.53,0.22,Positive
40,ALG1_YEAST,0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,Positive
41,ALG5_YEAST,0.86,0.74,0.51,0.4,0.5,0.0,0.55,0.22,Positive
42,GPT_YEAST,0.79,0.57,0.41,0.28,0.5,0.0,0.59,0.22,Positive
43,ALG8_YEAST,0.41,0.54,0.39,0.2,0.5,0.0,0.51,0.22,Positive
44,MAN1_YEAST,0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,Positive
45,ANC1_YEAST,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,Positive
46,ANP1_YEAST,0.74,0.75,0.58,0.47,0.5,0.0,0.4,0.35,Positive
47,APE2_YEAST,0.49,0.39,0.52,0.29,0.5,0.0,0.48,0.22,Negative
48,APE3_YEAST,0.74,0.57,0.51,0.28,0.5,0.0,0.58,0.22,Positive
49,ALP1_YEAST,0.42,0.24,0.34,0.16,0.5,0.0,0.5,0.22,Positive
50,ADB2_YEAST,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,Positive
51,YHB9_YEAST,0.41,0.53,0.45,0.14,0.5,0.0,0.52,0.66,Positive
52,APN1_YEAST,0.45,0.46,0.55,0.43,0.5,0.0,0.55,0.38,Positive
53,ARD1_YEAST,0.56,0.48,0.58,0.27,0.5,0.0,0.51,0.22,Positive
54,ARF1_YEAST,0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,Positive
55,ARF2_YEAST,0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,Positive
56,ASSY_YEAST,0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,Positive
57,OTC_YEAST,0.53,0.44,0.51,0.33,0.5,0.0,0.55,0.22,Positive
58,ARLY_YEAST,0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,Positive
59,AR56_YEAST,0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,Positive
60,ARGD_YEAST,0.43,0.35,0.52,0.52,0.5,0.0,0.54,0.22,Positive
61,ARG1_YEAST,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,Positive
62,ARG2_YEAST,0.48,0.43,0.51,0.32,0.5,0.0,0.52,0.43,Positive
63,ARG3_YEAST,0.41,0.46,0.59,0.19,0.5,0.0,0.58,0.27,Positive
