,one,two,three,four,five,six,seven,eight,nine,label
5,AATC_YEAST,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,positive
9,ABP1_YEAST,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,positive
12,ACH1_YEAST,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,positive
15,ACT_YEAST,0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22,positive
16,ACT2_YEAST,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,positive
20,C1TC_YEAST,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,positive
21,PUR4_YEAST,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,positive
22,PUR3_YEAST,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,positive
23,ADH1_YEAST,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,positive
24,ADH2_YEAST,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,positive
26,ADH4_YEAST,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27,positive
27,KAD1_YEAST,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,positive
32,AFR1_YEAST,0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,positive
37,SYAC_YEAST,0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,positive
50,ADB2_YEAST,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,positive
53,ARD1_YEAST,0.56,0.48,0.58,0.27,0.5,0.0,0.51,0.22,positive
54,ARF1_YEAST,0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,positive
55,ARF2_YEAST,0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,positive
56,ASSY_YEAST,0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,positive
57,OTC_YEAST,0.53,0.44,0.51,0.33,0.5,0.0,0.55,0.22,positive
58,ARLY_YEAST,0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,positive
64,ARO1_YEAST,0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,positive
65,AROC_YEAST,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,positive
66,AROF_YEAST,0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,positive
67,AROG_YEAST,0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,positive
68,CHMU_YEAST,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,positive
70,AST1_YEAST,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,positive
71,ATE1_YEAST,0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,positive
89,BCK1_YEAST,0.42,0.47,0.52,0.41,0.5,0.0,0.53,0.32,positive
90,BCK2_YEAST,0.36,0.46,0.62,0.46,0.5,0.0,0.51,0.33,positive
92,KAPR_YEAST,0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,positive
94,BEM1_YEAST,0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,positive
99,BIK1_YEAST,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,positive
102,BUD5_YEAST,0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,positive
104,CAP2_YEAST,0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,positive
106,CAPA_YEAST,0.42,0.35,0.54,0.18,0.5,0.0,0.56,0.22,positive
107,CAPB_YEAST,0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,positive
108,ARGI_YEAST,0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,positive
109,OAT_YEAST,0.27,0.6,0.48,0.23,0.5,0.0,0.55,0.22,positive
110,CACP_YEAST,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,negative
129,CTPT_YEAST,0.41,0.4,0.59,0.47,0.5,0.0,0.48,0.43,positive
130,CC10_YEAST,0.5,0.64,0.57,0.15,0.5,0.0,0.47,0.22,positive
131,CC11_YEAST,0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,positive
132,CC12_YEAST,0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,positive
135,CC24_YEAST,0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,positive
138,CDC3_YEAST,0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3,positive
140,IF4E_YEAST,0.39,0.47,0.56,0.16,0.5,0.0,0.47,0.22,positive
144,CC4_YEAST,0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,positive
146,CC42_YEAST,0.59,0.48,0.5,0.14,0.5,0.0,0.45,0.25,positive
147,CAL1_YEAST,0.39,0.55,0.48,0.31,0.5,0.0,0.54,0.29,positive
151,CC48_YEAST,0.44,0.39,0.53,0.14,0.5,0.0,0.54,0.44,positive
153,SYLC_YEAST,0.45,0.43,0.51,0.24,0.5,0.0,0.54,0.33,positive
156,KTHY_YEAST,0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22,positive
160,RLUB_YEAST,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,positive
161,RLUB_YEAST,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,positive
162,CLH_YEAST,0.54,0.49,0.49,0.2,0.5,0.0,0.52,0.22,positive
171,CIN1_YEAST,0.48,0.61,0.44,0.2,0.5,0.0,0.47,0.22,positive
172,CIN4_YEAST,0.66,0.45,0.5,0.23,0.5,0.0,0.49,0.22,positive
173,CIN8_YEAST,0.21,0.41,0.55,0.11,0.5,0.0,0.5,0.27,positive
175,CISZ_YEAST,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,negative
179,KICH_YEAST,0.39,0.4,0.53,0.67,0.5,0.0,0.47,0.22,positive
180,CLC1_YEAST,0.24,0.34,0.69,0.18,0.5,0.0,0.52,0.22,positive
181,CG11_YEAST,0.49,0.43,0.51,0.13,0.5,0.0,0.47,0.22,positive
182,CG12_YEAST,0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22,positive
183,CG13_YEAST,0.43,0.57,0.53,0.53,0.5,0.0,0.53,0.25,positive
184,CALM_YEAST,0.48,0.64,0.61,0.23,0.5,0.0,0.6,0.22,positive
185,KCC1_YEAST,0.31,0.55,0.52,0.17,0.5,0.0,0.52,0.22,positive
186,KCC2_YEAST,0.32,0.57,0.5,0.15,0.5,0.0,0.53,0.22,positive
187,P2B1_YEAST,0.32,0.42,0.52,0.24,0.5,0.0,0.6,0.22,positive
188,P2B2_YEAST,0.59,0.5,0.52,0.28,0.5,0.0,0.55,0.25,positive
189,CALB_YEAST,0.37,0.42,0.51,0.11,0.5,0.0,0.57,0.22,positive
192,COFI_YEAST,0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,positive
213,CARA_YEAST,0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,positive
214,CARB_YEAST,0.35,0.66,0.49,0.21,0.5,0.0,0.54,0.25,positive
215,CYPH_YEAST,0.52,0.4,0.6,0.12,0.5,0.0,0.55,0.22,positive
223,R141_YEAST,0.57,0.41,0.59,0.24,0.5,0.0,0.4,0.22,positive
224,R142_YEAST,0.56,0.41,0.58,0.21,0.5,0.0,0.42,0.22,positive
229,CATA_YEAST,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,negative
235,CATT_YEAST,0.41,0.51,0.58,0.15,0.5,0.0,0.45,0.27,positive
236,MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,positive
237,MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,positive
243,RL2A_YEAST,0.45,0.27,0.57,0.36,0.5,0.0,0.52,0.18,positive
244,CYAA_YEAST,0.2,0.26,0.52,0.14,0.5,0.0,0.53,0.44,positive
245,CYS3_YEAST,0.51,0.53,0.55,0.14,0.5,0.0,0.51,0.22,positive
250,MASZ_YEAST,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,negative
261,DEP1_YEAST,0.38,0.48,0.59,0.22,0.5,0.0,0.46,0.22,positive
262,DYR_YEAST,0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22,positive
270,SYDC_YEAST,0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,positive
273,DSS4_YEAST,0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,positive
277,EF1B_YEAST,0.39,0.45,0.53,0.18,0.5,0.0,0.54,0.22,positive
